route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
171,EMT,171,Mar de Cristal - Valdebebas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=171,0178BC,FFFFFF
172,EMT,172,Mar de Cristal - Telefonica,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=172,0178BC,FFFFFF
173,EMT,173,Plaza de Castilla - Sanchinarro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=173,0178BC,FFFFFF
174,EMT,174,Plaza de Castilla - Valdebebas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=174,0178BC,FFFFFF
175,EMT,175,Plaza de Castilla - las Tablas Norte,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=175,0178BC,FFFFFF
176,EMT,176,Plaza de Castilla - las Tablas Sur,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=176,0178BC,FFFFFF
177,EMT,177,Plaza de Castilla - Marques de Viana,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=177,0178BC,FFFFFF
178,EMT,178,Plaza de Castilla - Montecarmelo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=178,0178BC,FFFFFF
179,EMT,179,Plaza Castilla - el Pardo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=179,0178BC,FFFFFF
180,EMT,180,Plaza de Legazpi - Estacion el Pozo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=180,0178BC,FFFFFF
200,EMT,200,Avenida de America - Aeropuerto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=200,0178BC,FFFFFF
203,EMT,203,Estacion de Atocha - Aeropuerto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=203,0178BC,FFFFFF
210,EMT,210,Diego de Leon - la Elipa,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=210,0178BC,FFFFFF
215,EMT,215,Avenida de Felipe II - Parque de Roma,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=215,0178BC,FFFFFF
247,EMT,247,Atocha - Colonia San Jose Obrero,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=247,0178BC,FFFFFF
310,EMT,310,Pacifico - Estacion el Pozo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=310,0178BC,FFFFFF
361,EMT,001,Estacion de Atocha - Moncloa,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=001,0178BC,FFFFFF
362,EMT,002,Puerta de Toledo - Argüelles,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=002,0178BC,FFFFFF
363,EMT,C03,Puerta de Toledo - Argüelles,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=C03,0178BC,FFFFFF
372,EMT,172SF,Mar de Cristal - las Tablas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=172SF,0178BC,FFFFFF
401,EMT,E1,Plaza de Cibeles - la Peseta,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=E1,0178BC,FFFFFF
402,EMT,E2,Avenida de Felipe II - las Rosas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=E2,0178BC,FFFFFF
403,EMT,E3,Avenida de Felipe II - Valderrivas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=E3,0178BC,FFFFFF
404,EMT,E4,Avenida de Felipe II - Valdebernardo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=E4,0178BC,FFFFFF
405,EMT,E5,Manuel Becerra - el Cañaveral,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=E5,0178BC,FFFFFF
451,EMT,T11,Mar de Cristal - Parque Empresarial Cristalia,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=T11,0178BC,FFFFFF
452,EMT,T23,Puerta de Arganda - Poligono Industrial de Vicalvaro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=T23,0178BC,FFFFFF
453,EMT,T32,Plaza de Legazpi - Mercamadrid - C. T. M,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=T32,0178BC,FFFFFF
